id,text,target
1,"Hello I need to make an appointment", 0
6, "I need to reschedule my appointment", 0
7, "I want to confirm my appointment", 0
9,"I need to set an appointment", 0
14, "Due to a conflict I might need to reschedule my appointment", 0
15, "I confirm Tuesday Jan 16th", 0
17,"I need to adjust an upcoming doctor visit", 0
22, "Hi I need to reschedule the appointment with Dr", 0
23, "I confirm", 0
27, "I am checking to see if I can reschedule or not", 0

2,"Hello I need to discuss insurance options", 1
10,"Hello I need to review payment and  insurance", 1
25,"Is Blue Cross Blue Shield an insurance option?", 1
18,"I need to discuss insurance deductible", 1

3,"I need to talk to the doctor", 2
8, "I am wondering the medication amount", 2
11,"I have a question for the nurse", 2
16, "Hi is the prescription sent yet", 2
19,"May I speak to the doctor about my injury", 2
24, "I have a prescription question", 2
26,"I'd like to ask Dr. KAFDSF about therapy", 2

4,"What are your office hours", 3
5,"I need payment options", 3
12,"Are you open Saturday", 3
13,"Does the office accept all credit cards", 3
20,"What is the hours over the holidays", 3
21,"I need to discuss payment plans", 3
